Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Terminal_Run
Sample Stock,Chinook salmon,Terminal Run,2014,1991,1988,3,607
,,,,1992,1988,4,3926
,,,,1993,1988,5,2722
,,,,1994,1988,6,166
,,,,1992,1989,3,1301
,,,,1993,1989,4,1881
,,,,1994,1989,5,3335
,,,,1995,1989,6,219
,,,,1993,1990,3,644
,,,,1994,1990,4,2928
,,,,1995,1990,5,3648
,,,,1996,1990,6,772
,,,,1994,1991,3,57
,,,,1995,1991,4,434
,,,,1996,1991,5,1702
,,,,1997,1991,6,55
,,,,1995,1992,3,893
,,,,1996,1992,4,6001
,,,,1997,1992,5,7109
,,,,1998,1992,6,900
,,,,1996,1993,3,736
,,,,1997,1993,4,2245
,,,,1998,1993,5,2755
,,,,1999,1993,6,169
,,,,1997,1994,3,617
,,,,1998,1994,4,4023
,,,,1999,1994,5,3888
,,,,2000,1994,6,133
,,,,1998,1995,3,567
,,,,1999,1995,4,3528
,,,,2000,1995,5,2269
,,,,2001,1995,6,47
,,,,1999,1996,3,479
,,,,2000,1996,4,2475
,,,,2001,1996,5,1245
,,,,2002,1996,6,34
,,,,2000,1997,3,1979
,,,,2001,1997,4,7234
,,,,2002,1997,5,5566
,,,,2003,1997,6,116
,,,,2001,1998,3,3134
,,,,2002,1998,4,7935
,,,,2003,1998,5,4079
,,,,2004,1998,6,485
,,,,2002,1999,3,4554
,,,,2003,1999,4,5667
,,,,2004,1999,5,4598
,,,,2005,1999,6,395
,,,,2003,2000,3,1044
,,,,2004,2000,4,3659
,,,,2005,2000,5,3740
,,,,2006,2000,6,992
,,,,2004,2001,3,1232
,,,,2005,2001,4,2977
,,,,2006,2001,5,1860
,,,,2007,2001,6,512
,,,,2005,2002,3,1002
,,,,2006,2002,4,1860
,,,,2007,2002,5,3279
,,,,2008,2002,6,879
,,,,2006,2003,3,5
,,,,2007,2003,4,512
,,,,2008,2003,5,1641
,,,,2009,2003,6,20
,,,,2007,2004,3,5
,,,,2008,2004,4,1055
,,,,2009,2004,5,1211
,,,,2010,2004,6,44
,,,,2008,2005,3,234
,,,,2009,2005,4,2423
,,,,2010,2005,5,1313
,,,,2011,2005,6,62
,,,,2009,2006,3,908
,,,,2010,2006,4,1557
,,,,2011,2006,5,1417
,,,,2012,2006,6,35
,,,,2010,2007,3,1524
,,,,2011,2007,4,3523
,,,,2012,2007,5,1655
,,,,2013,2007,6,137
,,,,2011,2008,3,1170
,,,,2012,2008,4,2540
,,,,2013,2008,5,1688
,,,,2014,2008,6,109
,,,,2012,2009,3,2546
,,,,2013,2009,4,10176
,,,,2014,2009,5,2418
,,,,2015,2009,6,170
,,,,2013,2010,3,3035
,,,,2014,2010,4,5681
,,,,2015,2010,5,2943
,,,,2016,2010,6,NA
,,,,2014,2011,3,1154
,,,,2015,2011,4,5320
,,,,2016,2011,5,NA
,,,,2015,2012,3,4188
,,,,2016,2012,4,NA
,,,,2016,2013,3,NA
