Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run,Cov_sst_y_2,Cov_ONI_anom_2,Cov_PDO_y_2,Pred_Juv_Outmigrants,Pred_Hat_Releases,Pred_Spawners
Atnarko,Chinook salmon,Escapement,2023,1990,1987,3,1013,NA,9.837574245,-0.605,-0.504166667,NA,1960523,NA
,,,NA,1991,1987,4,3476,NA,9.837574245,-0.605,-0.504166667,NA,1960523,NA
,,,NA,1992,1987,5,16074,NA,9.837574245,-0.605,-0.504166667,NA,1960523,NA
,,,NA,1993,1987,6,1865,NA,9.837574245,-0.605,-0.504166667,NA,1960523,NA
,,,NA,1991,1988,3,828,NA,9.6532955,0.315,-0.826666667,NA,1980353,NA
,,,NA,1992,1988,4,14288,NA,9.6532955,0.315,-0.826666667,NA,1980353,NA
,,,NA,1993,1988,5,14918,NA,9.6532955,0.315,-0.826666667,NA,1980353,NA
,,,NA,1994,1988,6,1507,NA,9.6532955,0.315,-0.826666667,NA,1980353,NA
,,,NA,1992,1989,3,2143,NA,9.226139273,0.646666667,-0.879166667,NA,2076013,NA
,,,NA,1993,1989,4,13986,NA,9.226139273,0.646666667,-0.879166667,NA,2076013,NA
,,,NA,1994,1989,5,12664,NA,9.226139273,0.646666667,-0.879166667,NA,2076013,NA
,,,NA,1995,1989,6,949,NA,9.226139273,0.646666667,-0.879166667,NA,2076013,NA
,,,NA,1993,1990,3,4662,NA,9.629571472,0.630833333,0.76,NA,2164677,NA
,,,NA,1994,1990,4,9574,NA,9.629571472,0.630833333,0.76,NA,2164677,NA
,,,NA,1995,1990,5,14242,NA,9.629571472,0.630833333,0.76,NA,2164677,NA
,,,NA,1996,1990,6,989,NA,9.629571472,0.630833333,0.76,NA,2164677,NA
,,,NA,1994,1991,3,4432,NA,9.776155914,0.3125,1.043333333,NA,1838487,NA
,,,NA,1995,1991,4,6330,NA,9.776155914,0.3125,1.043333333,NA,1838487,NA
,,,NA,1996,1991,5,10219,NA,9.776155914,0.3125,1.043333333,NA,1838487,NA
,,,NA,1997,1991,6,1298,NA,9.776155914,0.3125,1.043333333,NA,1838487,NA
,,,NA,1995,1992,3,1899,NA,10.09041091,0.475,-0.493333333,NA,1780248,NA
,,,NA,1996,1992,4,7252,NA,10.09041091,0.475,-0.493333333,NA,1780248,NA
,,,NA,1997,1992,5,5626,NA,10.09041091,0.475,-0.493333333,NA,1780248,NA
,,,NA,1998,1992,6,770,NA,10.09041091,0.475,-0.493333333,NA,1780248,NA
,,,NA,1996,1993,3,2307,NA,10.02859767,-0.16,0.439166667,NA,1654333,NA
,,,NA,1997,1993,4,3462,NA,10.02859767,-0.16,0.439166667,NA,1654333,NA
,,,NA,1998,1993,5,6543,NA,10.02859767,-0.16,0.439166667,NA,1654333,NA
,,,NA,1999,1993,6,174,NA,10.02859767,-0.16,0.439166667,NA,1654333,NA
,,,NA,1997,1994,3,865,NA,9.369500371,-0.46,0.683333333,NA,1608003,NA
,,,NA,1998,1994,4,3849,NA,9.369500371,-0.46,0.683333333,NA,1608003,NA
,,,NA,1999,1994,5,7412,NA,9.369500371,-0.46,0.683333333,NA,1608003,NA
,,,NA,2000,1994,6,928,NA,9.369500371,-0.46,0.683333333,NA,1608003,NA
,,,NA,1998,1995,3,2309,NA,10.35357847,1.170833333,1.316666667,NA,1975850,NA
,,,NA,1999,1995,4,7697,NA,10.35357847,1.170833333,1.316666667,NA,1975850,NA
,,,NA,2000,1995,5,10538,NA,10.35357847,1.170833333,1.316666667,NA,1975850,NA
,,,NA,2001,1995,6,2354,NA,10.35357847,1.170833333,1.316666667,NA,1975850,NA
,,,NA,1999,1996,3,1267,NA,10.47750704,-0.0575,-0.478333333,NA,2116668,NA
,,,NA,2000,1996,4,5534,NA,10.47750704,-0.0575,-0.478333333,NA,2116668,NA
,,,NA,2001,1996,5,12275,NA,10.47750704,-0.0575,-0.478333333,NA,2116668,NA
,,,NA,2002,1996,6,1478,NA,10.47750704,-0.0575,-0.478333333,NA,2116668,NA
,,,NA,2000,1997,3,352,NA,9.589705083,-1.225,-1.843333333,NA,1841578,NA
,,,NA,2001,1997,4,3979,NA,9.589705083,-1.225,-1.843333333,NA,1841578,NA
,,,NA,2002,1997,5,3422,NA,9.589705083,-1.225,-1.843333333,NA,1841578,NA
,,,NA,2003,1997,6,1030,NA,9.589705083,-1.225,-1.843333333,NA,1841578,NA
,,,NA,2001,1998,3,3027,NA,9.770570696,-0.835833333,-1.125833333,NA,1018696,NA
,,,NA,2002,1998,4,5756,NA,9.770570696,-0.835833333,-1.125833333,NA,1018696,NA
,,,NA,2003,1998,5,6889,NA,9.770570696,-0.835833333,-1.125833333,NA,1018696,NA
,,,NA,2004,1998,6,1739,NA,9.770570696,-0.835833333,-1.125833333,NA,1018696,NA
,,,NA,2002,1999,3,856,NA,9.260949752,-0.308333333,-1.134166667,NA,1978641,NA
,,,NA,2003,1999,4,3863,NA,9.260949752,-0.308333333,-1.134166667,NA,1978641,NA
,,,NA,2004,1999,5,6260,NA,9.260949752,-0.308333333,-1.134166667,NA,1978641,NA
,,,NA,2005,1999,6,1202,NA,9.260949752,-0.308333333,-1.134166667,NA,1978641,NA
,,,NA,2003,2000,3,837,NA,9.719899447,0.630833333,-0.439166667,NA,1855242,NA
,,,NA,2004,2000,4,3478,NA,9.719899447,0.630833333,-0.439166667,NA,1855242,NA
,,,NA,2005,2000,5,5839,NA,9.719899447,0.630833333,-0.439166667,NA,1855242,NA
,,,NA,2006,2000,6,1300,NA,9.719899447,0.630833333,-0.439166667,NA,1855242,NA
,,,NA,2004,2001,3,348,NA,10.30877518,0.250833333,0.381666667,NA,1917411,NA
,,,NA,2005,2001,4,4465,NA,10.30877518,0.250833333,0.381666667,NA,1917411,NA
,,,NA,2006,2001,5,11594,NA,10.30877518,0.250833333,0.381666667,NA,1917411,NA
,,,NA,2007,2001,6,610,NA,10.30877518,0.250833333,0.381666667,NA,1917411,NA
,,,NA,2005,2002,3,172,NA,10.21917532,0.446666667,-0.224166667,NA,1984402,NA
,,,NA,2006,2002,4,5851,NA,10.21917532,0.446666667,-0.224166667,NA,1984402,NA
,,,NA,2007,2002,5,5246,NA,10.21917532,0.446666667,-0.224166667,NA,1984402,NA
,,,NA,2008,2002,6,654,NA,10.21917532,0.446666667,-0.224166667,NA,1984402,NA
,,,NA,2006,2003,3,542,NA,10.21561923,0.040833333,-0.188333333,NA,50000,NA
,,,NA,2007,2003,4,1524,NA,10.21561923,0.040833333,-0.188333333,NA,50000,NA
,,,NA,2008,2003,5,2243,NA,10.21561923,0.040833333,-0.188333333,NA,50000,NA
,,,NA,2009,2003,6,112,NA,10.21561923,0.040833333,-0.188333333,NA,50000,NA
,,,NA,2007,2004,3,850,NA,9.673411904,0.071666667,-0.350833333,NA,50000,NA
,,,NA,2008,2004,4,2429,NA,9.673411904,0.071666667,-0.350833333,NA,50000,NA
,,,NA,2009,2004,5,4027,NA,9.673411904,0.071666667,-0.350833333,NA,50000,NA
,,,NA,2010,2004,6,516,NA,9.673411904,0.071666667,-0.350833333,NA,50000,NA
,,,NA,2008,2005,3,1962,NA,9.684847088,-0.6075,-0.7025,NA,1768797,NA
,,,NA,2009,2005,4,5407,NA,9.684847088,-0.6075,-0.7025,NA,1768797,NA
,,,NA,2010,2005,5,5369,NA,9.684847088,-0.6075,-0.7025,NA,1768797,NA
,,,NA,2011,2005,6,154,NA,9.684847088,-0.6075,-0.7025,NA,1768797,NA
,,,NA,2009,2006,3,1380,NA,9.222889523,-0.781666667,-1.663333333,NA,1947958,NA
,,,NA,2010,2006,4,3476,NA,9.222889523,-0.781666667,-1.663333333,NA,1947958,NA
,,,NA,2011,2006,5,4065,NA,9.222889523,-0.781666667,-1.663333333,NA,1947958,NA
,,,NA,2012,2006,6,335,NA,9.222889523,-0.781666667,-1.663333333,NA,1947958,NA
,,,NA,2010,2007,3,1136,NA,9.199598351,0.281666667,-1.031666667,NA,1704685,NA
,,,NA,2011,2007,4,4039,NA,9.199598351,0.281666667,-1.031666667,NA,1704685,NA
,,,NA,2012,2007,5,2565,NA,9.199598351,0.281666667,-1.031666667,NA,1704685,NA
,,,NA,2013,2007,6,173,NA,9.199598351,0.281666667,-1.031666667,NA,1704685,NA
,,,NA,2011,2008,3,386,NA,9.296692092,-0.479166667,-1.060833333,NA,1661483,NA
,,,NA,2012,2008,4,2714,NA,9.296692092,-0.479166667,-1.060833333,NA,1661483,NA
,,,NA,2013,2008,5,6949,NA,9.296692092,-0.479166667,-1.060833333,NA,1661483,NA
,,,NA,2014,2008,6,1215,NA,9.296692092,-0.479166667,-1.060833333,NA,1661483,NA
,,,NA,2012,2009,3,1812,NA,8.809445113,-0.860833333,-1.811666667,NA,1984117,NA
,,,NA,2013,2009,4,10750,NA,8.809445113,-0.860833333,-1.811666667,NA,1984117,NA
,,,NA,2014,2009,5,7601,NA,8.809445113,-0.860833333,-1.811666667,NA,1984117,NA
,,,NA,2015,2009,6,392,NA,8.809445113,-0.860833333,-1.811666667,NA,1984117,NA
,,,NA,2013,2010,3,4818,NA,8.958929852,-0.150833333,-1.733333333,NA,1958899,NA
,,,NA,2014,2010,4,7406,NA,8.958929852,-0.150833333,-1.733333333,NA,1958899,NA
,,,NA,2015,2010,5,11667,NA,8.958929852,-0.150833333,-1.733333333,NA,1958899,NA
,,,NA,2016,2010,6,254,NA,8.958929852,-0.150833333,-1.733333333,NA,1958899,NA
,,,NA,2014,2011,3,2958,NA,8.596499785,-0.3225,-1.165833333,NA,1732953,NA
,,,NA,2015,2011,4,25331,NA,8.596499785,-0.3225,-1.165833333,NA,1732953,NA
,,,NA,2016,2011,5,7760,NA,8.596499785,-0.3225,-1.165833333,NA,1732953,NA
,,,NA,2017,2011,6,146,NA,8.596499785,-0.3225,-1.165833333,NA,1732953,NA
,,,NA,2015,2012,3,7204,NA,8.781994368,0.116666667,0.554166667,NA,1705180,NA
,,,NA,2016,2012,4,12222,NA,8.781994368,0.116666667,0.554166667,NA,1705180,NA
,,,NA,2017,2012,5,4148,NA,8.781994368,0.116666667,0.554166667,NA,1705180,NA
