Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
Sky_fing,Chinook salmon,Terminal_Run,2021,2006,2004,2,NA,NA,336.7253886,NA,NA,NA
,,,NA,2007,2005,2,NA,NA,12.17407485,NA,NA,NA
,,,NA,2008,2006,2,NA,NA,77.10448301,NA,NA,NA
,,,NA,2009,2007,2,NA,NA,8.072186482,NA,NA,NA
,,,NA,2010,2008,2,NA,NA,76.48724216,NA,NA,NA
,,,NA,2011,2009,2,NA,NA,13.98412698,NA,NA,NA
,,,NA,2012,2010,2,NA,NA,9.255639098,NA,NA,NA
,,,NA,2013,2011,2,NA,NA,9.346733668,NA,NA,NA
,,,NA,2014,2012,2,NA,NA,99.24,NA,NA,NA
,,,NA,2015,2013,2,NA,NA,21.41891892,NA,NA,NA
,,,NA,2016,2014,2,NA,NA,84.72908367,NA,NA,NA
,,,NA,2017,2015,2,NA,NA,50.27027027,NA,NA,NA
,,,NA,2018,2016,2,NA,NA,126.7806122,NA,NA,NA
,,,NA,2019,2017,2,NA,NA,17.28395062,NA,NA,NA
,,,NA,2020,2018,2,NA,NA,94.19133574,NA,NA,NA
,,,NA,2006,2003,3,NA,NA,408.880829,NA,NA,NA
,,,NA,2007,2004,3,NA,NA,523.4852186,NA,NA,NA
,,,NA,2008,2005,3,NA,NA,424.0746566,NA,NA,NA
,,,NA,2009,2006,3,NA,NA,80.72186482,NA,NA,NA
,,,NA,2010,2007,3,NA,NA,76.48724216,NA,NA,NA
,,,NA,2011,2008,3,NA,NA,55.93650794,NA,NA,NA
,,,NA,2012,2009,3,NA,NA,481.2932331,NA,NA,NA
,,,NA,2013,2010,3,NA,NA,46.73366834,NA,NA,NA
,,,NA,2014,2011,3,NA,NA,165.4,NA,NA,NA
,,,NA,2015,2012,3,NA,NA,242.7477477,NA,NA,NA
,,,NA,2016,2013,3,NA,NA,640.1752988,NA,NA,NA
,,,NA,2017,2014,3,NA,NA,263.9189189,NA,NA,NA
,,,NA,2018,2015,3,NA,NA,530.1734694,NA,NA,NA
,,,NA,2019,2016,3,NA,NA,190.1234568,NA,NA,NA
,,,NA,2020,2017,3,NA,NA,492.6931408,NA,NA,NA
,,,NA,2006,2002,4,NA,NA,2429.233161,NA,NA,NA
,,,NA,2007,2003,4,NA,NA,584.3555929,NA,NA,NA
,,,NA,2008,2004,4,NA,NA,3122.731562,NA,NA,NA
,,,NA,2009,2005,4,NA,NA,831.4352077,NA,NA,NA
,,,NA,2010,2006,4,NA,NA,548.1585688,NA,NA,NA
,,,NA,2011,2007,4,NA,NA,461.4761905,NA,NA,NA
,,,NA,2012,2008,4,NA,NA,1406.857143,NA,NA,NA
,,,NA,2013,2009,4,NA,NA,1252.462312,NA,NA,NA
,,,NA,2014,2010,4,NA,NA,446.58,NA,NA,NA
,,,NA,2015,2011,4,NA,NA,771.0810811,NA,NA,NA
,,,NA,2016,2012,4,NA,NA,1214.450199,NA,NA,NA
,,,NA,2017,2013,4,NA,NA,2054.797297,NA,NA,NA
,,,NA,2018,2014,4,NA,NA,1187.127551,NA,NA,NA
,,,NA,2019,2015,4,NA,NA,388.8888889,NA,NA,NA
,,,NA,2020,2016,4,NA,NA,1072.33213,NA,NA,NA
,,,NA,2006,2001,5,NA,NA,384.8290155,NA,NA,NA
,,,NA,2007,2002,5,NA,NA,194.7851976,NA,NA,NA
,,,NA,2008,2003,5,NA,NA,154.208966,NA,NA,NA
,,,NA,2009,2004,5,NA,NA,72.64967834,NA,NA,NA
,,,NA,2010,2005,5,NA,NA,395.1840845,NA,NA,NA
,,,NA,2011,2006,5,NA,NA,41.95238095,NA,NA,NA
,,,NA,2012,2007,5,NA,NA,185.112782,NA,NA,NA
,,,NA,2013,2008,5,NA,NA,233.6683417,NA,NA,NA
,,,NA,2014,2009,5,NA,NA,545.82,NA,NA,NA
,,,NA,2015,2010,5,NA,NA,107.0945946,NA,NA,NA
,,,NA,2016,2011,5,NA,NA,131.8007968,NA,NA,NA
,,,NA,2017,2012,5,NA,NA,175.9459459,NA,NA,NA
,,,NA,2018,2013,5,NA,NA,126.7806122,NA,NA,NA
,,,NA,2019,2014,5,NA,NA,43.20987654,NA,NA,NA
,,,NA,2020,2015,5,NA,NA,115.9277978,NA,NA,NA
