Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run,Cov_PDO,Cov_Releases,Cov_VarName3,Pred_Juv_Outmigrants,Pred_Hat_Releases,Pred_Spawners
WCVI_Hatchery,Chinook salmon,Terminal Run,2019,1979,1976,3,NA,77665,3.62,3693613,NA,NA,NA,NA
,,,NA,1980,1976,4,NA,53133,1.82,3693613,NA,NA,NA,NA
,,,NA,1981,1976,5,NA,9199,4.88,3693613,NA,NA,NA,NA
,,,NA,1980,1977,3,NA,23395,1.82,7749806,NA,NA,NA,NA
,,,NA,1981,1977,4,NA,21357,4.88,7749806,NA,NA,NA,NA
,,,NA,1982,1977,5,NA,9950,0.45,7749806,NA,NA,NA,NA
,,,NA,1981,1978,3,NA,58266,4.88,6723617,NA,NA,NA,NA
,,,NA,1982,1978,4,NA,66529,0.45,6723617,NA,NA,NA,NA
,,,NA,1983,1978,5,NA,31029,10.43,6723617,NA,NA,NA,NA
,,,NA,1982,1979,3,NA,62022,0.45,7663368,NA,NA,NA,NA
,,,NA,1983,1979,4,NA,79282,10.43,7663368,NA,NA,NA,NA
,,,NA,1984,1979,5,NA,24386,1.94,7663368,NA,NA,NA,NA
,,,NA,1983,1980,3,NA,34133,10.43,9162202,NA,NA,NA,NA
,,,NA,1984,1980,4,NA,93626,1.94,9162202,NA,NA,NA,NA
,,,NA,1985,1980,5,NA,13249,2.5,9162202,NA,NA,NA,NA
,,,NA,1984,1981,3,NA,27036,1.94,7842314,NA,NA,NA,NA
,,,NA,1985,1981,4,NA,54834,2.5,7842314,NA,NA,NA,NA
,,,NA,1986,1981,5,NA,10336,3.87,7842314,NA,NA,NA,NA
,,,NA,1985,1982,3,NA,63232,2.5,8418344,NA,NA,NA,NA
,,,NA,1986,1982,4,NA,56922,3.87,8418344,NA,NA,NA,NA
,,,NA,1987,1982,5,NA,8569,9.86,8418344,NA,NA,NA,NA
,,,NA,1986,1983,3,NA,3855,3.87,9599318,NA,NA,NA,NA
,,,NA,1987,1983,4,NA,9811,9.86,9599318,NA,NA,NA,NA
,,,NA,1988,1983,5,NA,10606,2.4,9599318,NA,NA,NA,NA
,,,NA,1987,1984,3,NA,74555,9.86,8224862,NA,NA,NA,NA
,,,NA,1988,1984,4,NA,95867,2.4,8224862,NA,NA,NA,NA
,,,NA,1989,1984,5,NA,28661,1.8,8224862,NA,NA,NA,NA
,,,NA,1988,1985,3,NA,30463,2.4,8203873,NA,NA,NA,NA
,,,NA,1989,1985,4,NA,67689,1.8,8203873,NA,NA,NA,NA
,,,NA,1990,1985,5,NA,28449,1.64,8203873,NA,NA,NA,NA
,,,NA,1989,1986,3,NA,75278,1.8,8680798,NA,NA,NA,NA
,,,NA,1990,1986,4,NA,104827,1.64,8680798,NA,NA,NA,NA
,,,NA,1991,1986,5,NA,76562,-1.07,8680798,NA,NA,NA,NA
,,,NA,1990,1987,3,NA,77444,1.64,8163122,NA,NA,NA,NA
,,,NA,1991,1987,4,NA,143680,-1.07,8163122,NA,NA,NA,NA
,,,NA,1992,1987,5,NA,72154,6.97,8163122,NA,NA,NA,NA
,,,NA,1991,1988,3,NA,72060,-1.07,9088097,NA,NA,NA,NA
,,,NA,1992,1988,4,NA,134422,6.97,9088097,NA,NA,NA,NA
,,,NA,1993,1988,5,NA,62573,11.07,9088097,NA,NA,NA,NA
,,,NA,1992,1989,3,NA,67983,6.97,8226719,NA,NA,NA,NA
,,,NA,1993,1989,4,NA,150586,11.07,8226719,NA,NA,NA,NA
,,,NA,1994,1989,5,NA,58590,-0.4,8226719,NA,NA,NA,NA
,,,NA,1993,1990,3,NA,46117,11.07,8543130,NA,NA,NA,NA
,,,NA,1994,1990,4,NA,105638,-0.4,8543130,NA,NA,NA,NA
,,,NA,1995,1990,5,NA,63322,5.81,8543130,NA,NA,NA,NA
,,,NA,1994,1991,3,NA,5115,-0.4,8129936,NA,NA,NA,NA
,,,NA,1995,1991,4,NA,20951,5.81,8129936,NA,NA,NA,NA
,,,NA,1996,1991,5,NA,21100,4.15,8129936,NA,NA,NA,NA
,,,NA,1995,1992,3,NA,2544,5.81,7804249,NA,NA,NA,NA
,,,NA,1996,1992,4,NA,18293,4.15,7804249,NA,NA,NA,NA
,,,NA,1997,1992,5,NA,4209,11.92,7804249,NA,NA,NA,NA
,,,NA,1996,1993,3,NA,56081,4.15,6804621,NA,NA,NA,NA
,,,NA,1997,1993,4,NA,76964,11.92,6804621,NA,NA,NA,NA
,,,NA,1998,1993,5,NA,26244,-0.37,6804621,NA,NA,NA,NA
,,,NA,1997,1994,3,NA,50783,11.92,7272540,NA,NA,NA,NA
,,,NA,1998,1994,4,NA,129183,-0.37,7272540,NA,NA,NA,NA
,,,NA,1999,1994,5,NA,49211,-5.13,7272540,NA,NA,NA,NA
,,,NA,1998,1995,3,NA,6904,-0.37,8273553,NA,NA,NA,NA
,,,NA,1999,1995,4,NA,27165,-5.13,8273553,NA,NA,NA,NA
,,,NA,2000,1995,5,NA,10830,-3.58,8273553,NA,NA,NA,NA
,,,NA,1999,1996,3,NA,6548,-5.13,8447056,NA,NA,NA,NA
,,,NA,2000,1996,4,NA,17325,-3.58,8447056,NA,NA,NA,NA
,,,NA,2001,1996,5,NA,8610,-4.22,8447056,NA,NA,NA,NA
,,,NA,2000,1997,3,NA,2835,-3.58,8330301,NA,NA,NA,NA
,,,NA,2001,1997,4,NA,16456,-4.22,8330301,NA,NA,NA,NA
,,,NA,2002,1997,5,NA,2905,-0.26,8330301,NA,NA,NA,NA
,,,NA,2001,1998,3,NA,55225,-4.22,7575588,NA,NA,NA,NA
