Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production,Cov_PDO_Summer,Cov_SOI_Summer,Cov_UWI_Summer
Sky_fing,Chinook,Terminal_Run,2018,2006,2004,2,NA,NA,336.7253886,NA,NA,NA,3.2664,-0.9,27.25
,,,,2007,2005,2,NA,NA,12.17407485,NA,NA,NA,4.3257,-0.1,31.5
,,,,2008,2006,2,NA,NA,77.10448301,NA,NA,NA,2.2913,-2.9,43.75
,,,,2009,2007,2,NA,NA,8.072186482,NA,NA,NA,2.2939,0.7,3
,,,,2010,2008,2,NA,NA,76.48724216,NA,NA,NA,5.1383,3,-1
,,,,2011,2009,2,NA,NA,13.98412698,NA,NA,NA,1.804,0.3,10
,,,,2012,2010,2,NA,NA,9.255639098,NA,NA,NA,5.2889,7.1,45.75
,,,,2013,2011,2,NA,NA,9.346733668,NA,NA,NA,7.6991,3,-57.25
,,,,2014,2012,2,NA,NA,99.24,NA,NA,NA,8.8671,-0.4,-30.5
,,,,2015,2013,2,NA,NA,21.22767857,NA,NA,NA,2.1348,3.3,12
,,,,2016,2014,2,NA,NA,99.97307692,NA,NA,NA,6.0974,-0.9,7.25
,,,,2017,2015,2,NA,NA,47.89699571,NA,NA,NA,8.4399,-5.4,66.5
,,,,2018,2016,2,NA,NA,120.6262136,NA,NA,NA,5.5072,3.3,59.25
,,,,2019,2017,2,NA,NA,13.54761905,NA,NA,NA,3.6238,1.8,-8.25
,,,,2020,2018,2,NA,NA,256.2162162,NA,NA,NA,1.0331,-0.7,66.5
,,,,2021,2019,2,NA,NA,10.21678322,NA,NA,NA,5.1507,-2.6,54.75
,,,,2006,2003,3,NA,NA,408.880829,NA,NA,NA,1.9313,-0.6,-15.5
,,,,2007,2004,3,NA,NA,523.4852186,NA,NA,NA,3.2664,-0.9,27.25
,,,,2008,2005,3,NA,NA,424.0746566,NA,NA,NA,4.3257,-0.1,31.5
,,,,2009,2006,3,NA,NA,80.72186482,NA,NA,NA,2.2913,-2.9,43.75
,,,,2010,2007,3,NA,NA,76.48724216,NA,NA,NA,2.2939,0.7,3
,,,,2011,2008,3,NA,NA,55.93650794,NA,NA,NA,5.1383,3,-1
,,,,2012,2009,3,NA,NA,481.2932331,NA,NA,NA,1.804,0.3,10
,,,,2013,2010,3,NA,NA,46.73366834,NA,NA,NA,5.2889,7.1,45.75
,,,,2014,2011,3,NA,NA,165.4,NA,NA,NA,7.6991,3,-57.25
,,,,2015,2012,3,NA,NA,247.65625,NA,NA,NA,8.8671,-0.4,-30.5
,,,,2016,2013,3,NA,NA,636.1923077,NA,NA,NA,2.1348,3.3,12
,,,,2017,2014,3,NA,NA,263.4334764,NA,NA,NA,6.0974,-0.9,7.25
,,,,2018,2015,3,NA,NA,526.368932,NA,NA,NA,8.4399,-5.4,66.5
,,,,2019,2016,3,NA,NA,149.0238095,NA,NA,NA,5.5072,3.3,59.25
,,,,2020,2017,3,NA,NA,149.4594595,NA,NA,NA,3.6238,1.8,-8.25
,,,,2021,2018,3,NA,NA,388.2377622,NA,NA,NA,1.0331,-0.7,66.5
,,,,2006,2002,4,NA,NA,2429.233161,NA,NA,NA,2.2313,-3.1,13
,,,,2007,2003,4,NA,NA,584.3555929,NA,NA,NA,1.9313,-0.6,-15.5
,,,,2008,2004,4,NA,NA,3122.731562,NA,NA,NA,3.2664,-0.9,27.25
,,,,2009,2005,4,NA,NA,831.4352077,NA,NA,NA,4.3257,-0.1,31.5
,,,,2010,2006,4,NA,NA,548.1585688,NA,NA,NA,2.2913,-2.9,43.75
,,,,2011,2007,4,NA,NA,461.4761905,NA,NA,NA,2.2939,0.7,3
,,,,2012,2008,4,NA,NA,1406.857143,NA,NA,NA,5.1383,3,-1
,,,,2013,2009,4,NA,NA,1252.462312,NA,NA,NA,1.804,0.3,10
,,,,2014,2010,4,NA,NA,446.58,NA,NA,NA,5.2889,7.1,45.75
,,,,2015,2011,4,NA,NA,771.2723214,NA,NA,NA,7.6991,3,-57.25
,,,,2016,2012,4,NA,NA,1199.676923,NA,NA,NA,8.8671,-0.4,-30.5
,,,,2017,2013,4,NA,NA,2059.570815,NA,NA,NA,2.1348,3.3,12
,,,,2018,2014,4,NA,NA,1217.228155,NA,NA,NA,6.0974,-0.9,7.25
,,,,2019,2015,4,,,325.1428571,,,,8.4399,-5.4,66.5
,,,,2020,2016,4,,,1270.405405,,,,5.5072,3.3,59.25
,,,,2021,2017,4,,,725.3916084,,,,3.6238,1.8,-8.25
,,,,2006,2001,5,,,384.8290155,,,,4.5503,-0.6,-82.75
,,,,2007,2002,5,,,194.7851976,,,,2.2313,-3.1,13
,,,,2008,2003,5,,,154.208966,,,,1.9313,-0.6,-15.5
,,,,2009,2004,5,,,72.64967834,,,,3.2664,-0.9,27.25
,,,,2010,2005,5,,,395.1840845,,,,4.3257,-0.1,31.5
,,,,2011,2006,5,,,41.95238095,,,,2.2913,-2.9,43.75
,,,,2012,2007,5,,,185.112782,,,,2.2939,0.7,3
,,,,2013,2008,5,,,233.6683417,,,,5.1383,3,-1
,,,,2014,2009,5,,,545.82,,,,1.804,0.3,10
,,,,2015,2010,5,,,106.1383929,,,,5.2889,7.1,45.75
,,,,2016,2011,5,,,136.3269231,,,,7.6991,3,-57.25
,,,,2017,2012,5,,,167.639485,,,,8.8671,-0.4,-30.5
,,,,2018,2013,5,,,120.6262136,,,,2.1348,3.3,12
,,,,2019,2014,5,,,33.86904762,,,,6.0974,-0.9,7.25
,,,,2020,2015,5,,,21.35135135,,,,8.4399,-5.4,66.5
,,,,2021,2016,5,,,81.73426573,,,,5.5072,3.3,59.25
