Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run,Cov_VarName1,Cov_VarName2,Cov_VarName3,Pred_Juv_Outmigrants,Pred_Hat_Releases,Pred_Spawners
Baker,Sockeye salmon,Terminal Run,2019,1992,1989,3,NA,1,NA,NA,NA,90238,NA,NA
,,,,1993,1990,3,NA,41,NA,NA,NA,25848,NA,NA
,,,,1994,1991,3,NA,112,NA,NA,NA,147512,NA,NA
,,,,1995,1992,3,NA,36,NA,NA,NA,151104,NA,NA
,,,,1996,1993,3,NA,1,NA,NA,NA,190540,NA,NA
,,,,1997,1994,3,NA,1,NA,NA,NA,120376,NA,NA
,,,,1998,1995,3,NA,38,NA,NA,NA,92499,NA,NA
,,,,1999,1996,3,NA,1,NA,NA,NA,193234,NA,NA
,,,,2000,1997,3,NA,109,NA,NA,NA,28325,NA,NA
,,,,2001,1998,3,NA,208,NA,NA,NA,194955,NA,NA
,,,,2002,1999,3,NA,163,NA,NA,NA,149481,NA,NA
,,,,2003,2000,3,NA,215,NA,NA,NA,70826,NA,NA
,,,,2004,2001,3,NA,1,NA,NA,NA,170820,NA,NA
,,,,2005,2002,3,NA,274,NA,NA,NA,117083,NA,NA
,,,,2006,2003,3,NA,1,NA,NA,NA,289304,NA,NA
,,,,2007,2004,3,NA,1,NA,NA,NA,158264,NA,NA
,,,,2008,2005,3,NA,59,NA,NA,NA,253004,NA,NA
,,,,2009,2006,3,NA,17,NA,NA,NA,342941,NA,NA
,,,,2010,2007,3,NA,142,NA,NA,NA,436587,NA,NA
,,,,2011,2008,3,NA,344,NA,NA,NA,209508,NA,NA
,,,,2012,2009,3,NA,1,NA,NA,NA,469932,NA,NA
,,,,2013,2010,3,NA,93,NA,NA,NA,758309,NA,NA
,,,,2014,2011,3,NA,226,NA,NA,NA,939879,NA,NA
,,,,2015,2012,3,NA,1,NA,NA,NA,700757,NA,NA
,,,,2016,2013,3,NA,93,NA,NA,NA,787650,NA,NA
,,,,2017,2014,3,NA,133,NA,NA,NA,1094898,NA,NA
,,,,2018,2015,3,NA,91,NA,NA,NA,463882,NA,NA
,,,,2019,2016,3,NA,NA,NA,NA,NA,777000,NA,NA
,,,,1992,1988,4,NA,3904,NA,NA,NA,90238,NA,NA
,,,,1993,1989,4,NA,3348,NA,NA,NA,25848,NA,NA
,,,,1994,1990,4,NA,15628,NA,NA,NA,147512,NA,NA
,,,,1995,1991,4,NA,1318,NA,NA,NA,151104,NA,NA
,,,,1996,1992,4,NA,7542,NA,NA,NA,190540,NA,NA
,,,,1997,1993,4,NA,5388,NA,NA,NA,120376,NA,NA
,,,,1998,1994,4,NA,10351,NA,NA,NA,92499,NA,NA
,,,,1999,1995,4,NA,2614,NA,NA,NA,193234,NA,NA
,,,,2000,1996,4,NA,9118,NA,NA,NA,28325,NA,NA
,,,,2001,1997,4,NA,3093,NA,NA,NA,194955,NA,NA
,,,,2002,1998,4,NA,3343,NA,NA,NA,149481,NA,NA
,,,,2003,1999,4,NA,20021,NA,NA,NA,70826,NA,NA
,,,,2004,2000,4,NA,5843,NA,NA,NA,170820,NA,NA
,,,,2005,2001,4,NA,2584,NA,NA,NA,117083,NA,NA
,,,,2006,2002,4,NA,8966,NA,NA,NA,289304,NA,NA
,,,,2007,2003,4,NA,1486,NA,NA,NA,158264,NA,NA
,,,,2008,2004,4,NA,4833,NA,NA,NA,253004,NA,NA
,,,,2009,2005,4,NA,2231,NA,NA,NA,342941,NA,NA
