Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run,Cov_VarName1,Cov_VarName2,Cov_VarName3,Pred_Juv_Outmigrants,Pred_Hat_Releases,Pred_Spawners
URB,Chinook salmon,Escapement,2017,1979,1977,2,0.117,NA,NA,NA,NA,NA,NA,NA
,,,NA,1980,1977,3,0.1755,NA,NA,NA,NA,NA,NA,NA
,,,NA,1981,1977,4,0.5288,NA,NA,NA,NA,NA,NA,NA
,,,NA,1980,1978,2,0.0854,NA,NA,NA,NA,NA,NA,NA
,,,NA,1981,1978,3,0.0686,NA,NA,NA,NA,NA,NA,NA
,,,NA,1982,1978,4,0.4194,NA,NA,NA,NA,NA,NA,NA
,,,NA,1981,1979,2,0.0955,NA,NA,NA,NA,NA,NA,NA
,,,NA,1982,1979,3,0.1206,NA,NA,NA,NA,NA,NA,NA
,,,NA,1983,1979,4,0.5527,NA,NA,NA,NA,NA,NA,NA
,,,NA,1982,1980,2,0.0925,NA,NA,NA,NA,NA,NA,NA
,,,NA,1983,1980,3,0.1079,NA,NA,NA,NA,NA,NA,NA
,,,NA,1984,1980,4,0.4703,NA,NA,NA,NA,NA,NA,NA
,,,NA,1983,1981,2,0.1028,NA,NA,NA,NA,NA,NA,NA
,,,NA,1984,1981,3,0.1097,NA,NA,NA,NA,NA,NA,NA
,,,NA,1985,1981,4,0.5237,NA,NA,NA,NA,NA,NA,NA
,,,NA,1984,1982,2,0.1017,NA,NA,NA,NA,NA,NA,NA
,,,NA,1985,1982,3,0.1015,NA,NA,NA,NA,NA,NA,NA
,,,NA,1986,1982,4,0.3567,NA,NA,NA,NA,NA,NA,NA
,,,NA,1985,1983,2,0.1279,NA,NA,NA,NA,NA,NA,NA
,,,NA,1986,1983,3,0.1059,NA,NA,NA,NA,NA,NA,NA
,,,NA,1987,1983,4,0.346,NA,NA,NA,NA,NA,NA,NA
,,,NA,1986,1984,2,0.1117,NA,NA,NA,NA,NA,NA,NA
,,,NA,1987,1984,3,0.0836,NA,NA,NA,NA,NA,NA,NA
,,,NA,1988,1984,4,0.3788,NA,NA,NA,NA,NA,NA,NA
,,,NA,1987,1985,2,0.1596,NA,NA,NA,NA,NA,NA,NA
,,,NA,1988,1985,3,0.078,NA,NA,NA,NA,NA,NA,NA
,,,NA,1989,1985,4,0.37,NA,NA,NA,NA,NA,NA,NA
,,,NA,1988,1986,2,0.1198,NA,NA,NA,NA,NA,NA,NA
,,,NA,1989,1986,3,0.0599,NA,NA,NA,NA,NA,NA,NA
,,,NA,1990,1986,4,0.3834,NA,NA,NA,NA,NA,NA,NA
,,,NA,1989,1987,2,0.0816,NA,NA,NA,NA,NA,NA,NA
,,,NA,1990,1987,3,0.0624,NA,NA,NA,NA,NA,NA,NA
,,,NA,1991,1987,4,0.4028,NA,NA,NA,NA,NA,NA,NA
,,,NA,1990,1988,2,0.0682,NA,NA,NA,NA,NA,NA,NA
,,,NA,1991,1988,3,0.0518,NA,NA,NA,NA,NA,NA,NA
,,,NA,1992,1988,4,0.3878,NA,NA,NA,NA,NA,NA,NA
,,,NA,1991,1989,2,0.125,NA,NA,NA,NA,NA,NA,NA
,,,NA,1992,1989,3,0.1903,NA,NA,NA,NA,NA,NA,NA
,,,NA,1993,1989,4,0.4651,NA,NA,NA,NA,NA,NA,NA
,,,NA,1992,1990,2,0.0919,NA,NA,NA,NA,NA,NA,NA
,,,NA,1993,1990,3,0.117,NA,NA,NA,NA,NA,NA,NA
,,,NA,1994,1990,4,0.5428,NA,NA,NA,NA,NA,NA,NA
,,,NA,1993,1991,2,0.0646,NA,NA,NA,NA,NA,NA,NA
,,,NA,1994,1991,3,0.1358,NA,NA,NA,NA,NA,NA,NA
,,,NA,1995,1991,4,0.4777,NA,NA,NA,NA,NA,NA,NA
,,,NA,1994,1992,2,0.0843,NA,NA,NA,NA,NA,NA,NA
,,,NA,1995,1992,3,0.2076,NA,NA,NA,NA,NA,NA,NA
,,,NA,1996,1992,4,0.3665,NA,NA,NA,NA,NA,NA,NA
,,,NA,1995,1993,2,0.0344,NA,NA,NA,NA,NA,NA,NA
,,,NA,1996,1993,3,0.1042,NA,NA,NA,NA,NA,NA,NA
,,,NA,1997,1993,4,0.4928,NA,NA,NA,NA,NA,NA,NA
,,,NA,1996,1994,2,0.0663,NA,NA,NA,NA,NA,NA,NA
,,,NA,1997,1994,3,0.1141,NA,NA,NA,NA,NA,NA,NA
,,,NA,1998,1994,4,0.512,NA,NA,NA,NA,NA,NA,NA
,,,NA,1997,1995,2,0.0425,NA,NA,NA,NA,NA,NA,NA
,,,NA,1998,1995,3,0.0532,NA,NA,NA,NA,NA,NA,NA
,,,NA,1999,1995,4,0.4762,NA,NA,NA,NA,NA,NA,NA
,,,NA,1998,1996,2,0.0501,NA,NA,NA,NA,NA,NA,NA
,,,NA,1999,1996,3,0.1254,NA,NA,NA,NA,NA,NA,NA
,,,NA,2000,1996,4,0.5072,NA,NA,NA,NA,NA,NA,NA
,,,NA,1999,1997,2,0.0528,NA,NA,NA,NA,NA,NA,NA
,,,NA,2000,1997,3,0.0782,NA,NA,NA,NA,NA,NA,NA
,,,NA,2001,1997,4,0.4582,NA,NA,NA,NA,NA,NA,NA
,,,NA,2000,1998,2,0.0575,NA,NA,NA,NA,NA,NA,NA
,,,NA,2001,1998,3,0.1163,NA,NA,NA,NA,NA,NA,NA
,,,NA,2002,1998,4,0.4344,NA,NA,NA,NA,NA,NA,NA
,,,NA,2001,1999,2,0.042,NA,NA,NA,NA,NA,NA,NA
,,,NA,2002,1999,3,0.1608,NA,NA,NA,NA,NA,NA,NA
,,,NA,2003,1999,4,0.4862,NA,NA,NA,NA,NA,NA,NA
,,,NA,2002,2000,2,0.0661,NA,NA,NA,NA,NA,NA,NA
,,,NA,2003,2000,3,0.1829,NA,NA,NA,NA,NA,NA,NA
,,,NA,2004,2000,4,0.5737,NA,NA,NA,NA,NA,NA,NA
,,,NA,2003,2001,2,0.0473,NA,NA,NA,NA,NA,NA,NA
,,,NA,2004,2001,3,0.1535,NA,NA,NA,NA,NA,NA,NA
,,,NA,2005,2001,4,0.4399,NA,NA,NA,NA,NA,NA,NA
,,,NA,2004,2002,2,0.0391,NA,NA,NA,NA,NA,NA,NA
,,,NA,2005,2002,3,0.0734,NA,NA,NA,NA,NA,NA,NA
,,,NA,2006,2002,4,0.287,NA,NA,NA,NA,NA,NA,NA
,,,NA,2005,2003,2,0.0451,NA,NA,NA,NA,NA,NA,NA
,,,NA,2006,2003,3,0.1718,NA,NA,NA,NA,NA,NA,NA
,,,NA,2007,2003,4,0.538,NA,NA,NA,NA,NA,NA,NA
,,,NA,2006,2004,2,0.0642,NA,NA,NA,NA,NA,NA,NA
,,,NA,2007,2004,3,0.1373,NA,NA,NA,NA,NA,NA,NA
,,,NA,2008,2004,4,0.6809,NA,NA,NA,NA,NA,NA,NA
,,,NA,2007,2005,2,0.0919,NA,NA,NA,NA,NA,NA,NA
,,,NA,2008,2005,3,0.2283,NA,NA,NA,NA,NA,NA,NA
,,,NA,2009,2005,4,0.6456,NA,NA,NA,NA,NA,NA,NA
,,,NA,2008,2006,2,0.0949,NA,NA,NA,NA,NA,NA,NA
,,,NA,2009,2006,3,0.2634,NA,NA,NA,NA,NA,NA,NA
,,,NA,2010,2006,4,0.5726,NA,NA,NA,NA,NA,NA,NA
,,,NA,2009,2007,2,0.0539,NA,NA,NA,NA,NA,NA,NA
,,,NA,2010,2007,3,0.1851,NA,NA,NA,NA,NA,NA,NA
,,,NA,2011,2007,4,0.7778,NA,NA,NA,NA,NA,NA,NA
,,,NA,2010,2008,2,0.0386,NA,NA,NA,NA,NA,NA,NA
,,,NA,2011,2008,3,0.2234,NA,NA,NA,NA,NA,NA,NA
,,,NA,2012,2008,4,0.592,NA,NA,NA,NA,NA,NA,NA
,,,NA,2011,2009,2,0.0672,NA,NA,NA,NA,NA,NA,NA
,,,NA,2012,2009,3,0.1274,NA,NA,NA,NA,NA,NA,NA
,,,NA,2013,2009,4,0.6745,NA,NA,NA,NA,NA,NA,NA
,,,NA,2012,2010,2,0.0801,NA,NA,NA,NA,NA,NA,NA
,,,NA,2013,2010,3,0.2484,NA,NA,NA,NA,NA,NA,NA
,,,NA,2014,2010,4,0.5883,NA,NA,NA,NA,NA,NA,NA
,,,NA,2013,2011,2,0.1139,NA,NA,NA,NA,NA,NA,NA
,,,NA,2014,2011,3,0.2504,NA,NA,NA,NA,NA,NA,NA
,,,NA,2015,2011,4,0.7925,NA,NA,NA,NA,NA,NA,NA
,,,NA,2014,2012,2,0.0325,NA,NA,NA,NA,NA,NA,NA
,,,NA,2015,2012,3,0.3061,NA,NA,NA,NA,NA,NA,NA
,,,NA,2016,2012,4,0.7988,NA,NA,NA,NA,NA,NA,NA
,,,NA,2015,2013,2,0.0722,NA,NA,NA,NA,NA,NA,NA
,,,NA,2016,2013,3,0.204,NA,NA,NA,NA,NA,NA,NA
,,,NA,2016,2014,2,0.0722,NA,NA,NA,NA,NA,NA,NA
